标题,售价,单价,小区,商圈,户型,面积,朝向,装修,楼层,建筑结构,日期
尚双塘地铁站中层湘雅医院满五唯一急售有钥匙正规3房,92,8084,卢浮原著 ,暮云,3室2厅,113.81,北 南,毛坯,中楼层(共17层) ,暂无数据,暂无数据
世纪城望江苑 稀有户型 19层以上 江景视野好 带车位,168,13189,世纪城望江苑 ,湘江世纪城,3室2厅,127.38,南 北,精装,高楼层(共33层),板楼,2008年
18年次新小区 满五唯一  中间楼层 自住装修未入住,153,12037,鑫远悦城 ,省政府,4室2厅,127.11,南 北,精装,高楼层(共16层) ,板塔结合,暂无数据
次新小区 居家装修 中间楼层 有钥匙随时看房,83,7855,金谷豪庭 ,暮云,3室2厅,105.67,南 北,精装,低楼层(共16层) ,暂无数据,暂无数据
满五唯一 中间楼层 业主诚心出售 价格可谈 随时看房,90,6183,德泽苑 ,暮云,4室2厅,145.57,南,毛坯,中楼层(共12层) ,板楼,暂无数据
19年交房的次新小区，中信大托双地铁口，2梯2户纯板楼,162,11481,鑫远悦城 ,省政府,4室2厅,141.11,南 北,毛坯,高楼层(共16层) ,暂无数据,暂无数据
次新小区，近地铁、青园梓枫和中雅培粹，周正四房,153,12422,润屋美院 ,德思勤,4室2厅,123.17,南,毛坯,低楼层(共17层) ,板塔结合,暂无数据
书院路 18年次新小区 清水毛坯3房 客厅有阳台 通透,102.8,10638,荣盛花语书苑 ,黄土岭,3室2厅,96.64,南 北,毛坯,低楼层(共34层),塔楼,2017年
广泰锦苑 4室1厅 南,142,11720,广泰锦苑 ,河西人人乐,4室1厅,121.17,南,精装,中楼层(共34层) ,塔楼,暂无数据
满五唯一，河景好房，99新带壁暖,151.5,15541,万科金域蓝湾三期 ,晚报,3室1厅,97.49,东南,精装,低楼层(共27层) ,塔楼,暂无数据
精装，孩子方便，X.w书，带暖气片，家具电器齐全，,65,8187,未来康桥长郡 ,泉塘,2室2厅,79.4,南 北,精装,低楼层(共18层),板塔结合,2012年
武广板块，次新小区，精装三房，拎包入住，,106,11605,阳光城尚东湾青云苑 ,武广新城,3室2厅,91.34,南,精装,高楼层(共33层) ,板塔结合,暂无数据
